#BT7 webfit calibration based on webfitcali\fpx98844.bt7
#Created on: Fri, 04 Jan 2013 09:50:29
#Efficiency  A4  Ef
0.374029 -2.9499 0
0.509984 -2.7435 0
0.481596 -2.61048 0
0.585394 -2.49629 0
0.539423 -2.39471 0
0.611634 -2.26533 0
0.550639 -2.16899 0
0.660757 -2.06286 0
0.593958 -1.92663 0
0.649777 -1.82434 0
0.645188 -1.66148 0
0.656346 -1.54513 0
0.732785 -1.36953 0
0.690054 -1.25138 0
0.812479 -1.09669 0
0.667824 -0.981833 0
0.881277 -0.854119 0
0.769717 -0.719379 0
0.861868 -0.606691 0
0.907541 -0.450295 0
0.862595 -0.319404 0
0.935609 -0.177064 0
0.843322 -0.0635155 0
1.00807 0.0910142 0
0.873706 0.209593 0
0.975983 0.357754 0
0.932643 0.476852 0
0.956557 0.613573 0
1.02976 0.741644 0
0.916818 0.882209 0
0.978958 1.00834 0
0.842948 1.13324 0
1.00003 1.2494 0
0.876751 1.37764 0
0.84803 1.51457 0
0.983176 1.61991 0
0.854793 1.76292 0
0.912408 1.88802 0
0.86215 2.02287 0
0.877783 2.16102 0
0.894977 2.3009 0
0.784454 2.43909 0
0.874057 2.54573 0
0.776108 2.6906 0
0.760359 2.8179 0
0.713756 2.95745 0
0.513128 3.09575 0
0.331583 3.27933 0
